LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,YrSold,MSSubClass_E,MSZoning_E,Street_E,Alley_E,LotShape_E,LandContour_E,Utilities_E,LotConfig_E,LandSlope_E,Neighborhood_E,Condition1_E,Condition2_E,BldgType_E,HouseStyle_E,RoofStyle_E,RoofMatl_E,Exterior1st_E,Exterior2nd_E,MasVnrType_E,ExterQual_E,ExterCond_E,Foundation_E,BsmtQual_E,BsmtCond_E,BsmtExposure_E,BsmtFinType1_E,BsmtFinType2_E,Heating_E,HeatingQC_E,CentralAir_E,Electrical_E,KitchenQual_E,Functional_E,FireplaceQu_E,GarageType_E,GarageFinish_E,GarageQual_E,GarageCond_E,PavedDrive_E,PoolQC_E,Fence_E,MiscFeature_E,MoSold_E,SaleType_E,SaleCondition_E,HasBasement,HasGarage,Has2ndFloor,HasMasVnr,HasWoodDeck,HasPorch,HasPool,IsNew,OverallQual_2,OverallQual_3,OverallQual_sq,Neighborhood_E_2,Neighborhood_E_3,Neighborhood_E_sq,GrLivArea_2,GrLivArea_3,GrLivArea_sq,ExterQual_E_2,ExterQual_E_3,ExterQual_E_sq,GarageCars_2,GarageCars_3,GarageCars_sq,KitchenQual_E_2,KitchenQual_E_3,KitchenQual_E_sq,GarageArea_2,GarageArea_3,GarageArea_sq,BsmtQual_E_2,BsmtQual_E_3,BsmtQual_E_sq,TotalBsmtSF_2,TotalBsmtSF_3,TotalBsmtSF_sq,1stFlrSF_2,1stFlrSF_3,1stFlrSF_sq,GarageFinish_E_2,GarageFinish_E_3,GarageFinish_E_sq,FullBath_2,FullBath_3,FullBath_sq,YearBuilt_2,YearBuilt_3,YearBuilt_sq,GarageType_E_2,GarageType_E_3,GarageType_E_sq,YearRemodAdd_2,YearRemodAdd_3,YearRemodAdd_sq,MSSubClass_E_2,MSSubClass_E_3,MSSubClass_E_sq,Foundation_E_2,Foundation_E_3,Foundation_E_sq,FireplaceQu_E_2,FireplaceQu_E_3,FireplaceQu_E_sq,TotRmsAbvGrd_2,TotRmsAbvGrd_3,TotRmsAbvGrd_sq,OverallScore,ExterScore,BsmtScore,KitchenScore,FireplaceScore,GarageScore,PoolScore,TotalBath,AllSf,AllFlrSF,AllPorchSF
65.0,8450,7,5,2003,2003,196.0,706,0,150,856,856,854,0,1710,1,0,2,1,3,1,8,0,2003.0,2,548,0,61,0,0,0,0,0,2008,15.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,16.0,4.0,5.0,4.0,7.0,2.0,2.0,12.0,15.0,3.0,3.0,4.0,6.0,4.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,2.0,6.0,3.0,4.0,6.0,3.0,1.0,5.0,3.0,8.0,5.0,5.0,1,1,1,1,0,1,0,1,49,343,2.6457513110645907,256.0,4096.0,4.0,2924100,5000211000,41.352146256270665,9.0,27.0,1.7320508075688772,4,8,1.4142135623730951,9.0,27.0,1.7320508075688772,300304,164566592,23.40939982143925,16.0,64.0,2.0,732736,627222016,29.257477676655586,732736,627222016,29.257477676655586,9.0,27.0,1.7320508075688772,4,8,1.4142135623730951,4012009,8036054027,44.75488800120049,36.0,216.0,2.449489742783178,4012009,8036054027,44.75488800120049,225.0,3375.0,3.872983346207417,36.0,216.0,2.449489742783178,4.0,8.0,1.4142135623730951,64,512,2.8284271247461903,35,12.0,16.0,3.0,0.0,24.0,0.0,3.5,2566,1710,61
80.0,9600,6,8,1976,1976,0.0,978,0,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,1976.0,2,460,298,0,0,0,0,0,0,2007,12.0,4.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,21.0,2.0,5.0,4.0,5.0,2.0,2.0,7.0,7.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,5.0,2.0,5.0,2.0,7.0,4.0,6.0,3.0,4.0,6.0,3.0,1.0,5.0,3.0,3.0,5.0,5.0,1,1,0,0,1,0,0,0,36,216,2.449489742783178,441.0,9261.0,4.58257569495584,1592644,2009916728,35.52463933666322,4.0,8.0,1.4142135623730951,4,8,1.4142135623730951,4.0,8.0,1.4142135623730951,211600,97336000,21.447610589527216,16.0,64.0,2.0,1592644,2009916728,35.52463933666322,1592644,2009916728,35.52463933666322,9.0,27.0,1.7320508075688772,4,8,1.4142135623730951,3904576,7715442176,44.45222154178574,36.0,216.0,2.449489742783178,3904576,7715442176,44.45222154178574,144.0,1728.0,3.4641016151377544,9.0,27.0,1.7320508075688772,16.0,64.0,2.0,36,216,2.449489742783178,48,8.0,16.0,2.0,4.0,24.0,0.0,2.5,2524,1262,0
68.0,11250,7,5,2001,2002,162.0,486,0,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,2001.0,2,608,0,42,0,0,0,0,0,2008,15.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,16.0,4.0,5.0,4.0,7.0,2.0,2.0,12.0,15.0,3.0,3.0,4.0,6.0,4.0,4.0,3.0,7.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,4.0,6.0,3.0,4.0,6.0,3.0,1.0,5.0,3.0,12.0,5.0,5.0,1,1,1,1,0,1,0,1,49,343,2.6457513110645907,256.0,4096.0,4.0,3189796,5696975656,42.261093218230876,9.0,27.0,1.7320508075688772,4,8,1.4142135623730951,9.0,27.0,1.7320508075688772,369664,224755712,24.657656011875904,16.0,64.0,2.0,846400,778688000,30.331501776206203,846400,778688000,30.331501776206203,9.0,27.0,1.7320508075688772,4,8,1.4142135623730951,4004001,8012006001,44.73253849269008,36.0,216.0,2.449489742783178,4008004,8024024008,44.74371464239419,225.0,3375.0,3.872983346207417,36.0,216.0,2.449489742783178,16.0,64.0,2.0,36,216,2.449489742783178,35,12.0,16.0,3.0,4.0,24.0,0.0,3.5,2706,1786,42
60.0,9550,7,5,1915,1970,0.0,216,0,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,1998.0,3,642,0,35,272,0,0,0,0,2006,10.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,18.0,4.0,5.0,4.0,7.0,2.0,2.0,5.0,8.0,2.0,2.0,4.0,2.0,3.0,5.0,2.0,5.0,6.0,6.0,4.0,2.0,5.0,3.0,7.0,5.0,3.0,2.0,4.0,6.0,3.0,1.0,5.0,3.0,8.0,5.0,2.0,1,1,1,0,0,1,0,0,49,343,2.6457513110645907,324.0,5832.0,4.242640687119285,2948089,5061868813,41.43669871020132,4.0,8.0,1.4142135623730951,9,27,1.7320508075688772,9.0,27.0,1.7320508075688772,412164,264609288,25.337718918639855,9.0,27.0,1.7320508075688772,571536,432081216,27.49545416973504,923521,887503681,31.0,4.0,8.0,1.4142135623730951,1,1,1.0,3667225,7022735875,43.76071297408213,9.0,27.0,1.7320508075688772,3880900,7645373000,44.384682042344295,100.0,1000.0,3.1622776601683795,4.0,8.0,1.4142135623730951,25.0,125.0,2.23606797749979,49,343,2.6457513110645907,35,8.0,15.0,3.0,5.0,24.0,0.0,2.0,2473,1717,307
84.0,14260,8,5,2000,2000,350.0,655,0,490,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,2000.0,3,836,192,84,0,0,0,0,0,2008,15.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,25.0,4.0,5.0,4.0,7.0,2.0,2.0,12.0,15.0,3.0,3.0,4.0,6.0,4.0,4.0,4.0,7.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,4.0,6.0,3.0,4.0,6.0,3.0,1.0,5.0,3.0,10.0,5.0,5.0,1,1,1,1,1,1,0,0,64,512,2.8284271247461903,625.0,15625.0,5.0,4831204,10618986392,46.88283267892417,9.0,27.0,1.7320508075688772,9,27,1.7320508075688772,9.0,27.0,1.7320508075688772,698896,584277056,28.91366458960192,16.0,64.0,2.0,1311025,1501123625,33.83784863137726,1311025,1501123625,33.83784863137726,9.0,27.0,1.7320508075688772,4,8,1.4142135623730951,4000000,8000000000,44.721359549995796,36.0,216.0,2.449489742783178,4000000,8000000000,44.721359549995796,225.0,3375.0,3.872983346207417,36.0,216.0,2.449489742783178,16.0,64.0,2.0,81,729,3.0,40,12.0,16.0,3.0,4.0,24.0,0.0,3.5,3343,2198,84
85.0,14115,5,5,1993,1995,0.0,732,0,64,796,796,566,0,1362,1,0,1,1,1,1,5,0,1993.0,2,480,40,30,0,320,0,0,700,2009,7.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,12.0,4.0,5.0,4.0,3.0,2.0,2.0,12.0,15.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,5.0,2.0,7.0,2.0,6.0,2.0,4.0,6.0,3.0,1.0,3.0,2.0,4.0,5.0,5.0,1,1,1,0,1,1,0,0,25,125,2.23606797749979,144.0,1728.0,3.4641016151377544,1855044,2526569928,36.90528417449187,4.0,8.0,1.4142135623730951,4,8,1.4142135623730951,4.0,8.0,1.4142135623730951,230400,110592000,21.908902300206645,16.0,64.0,2.0,633616,504358336,28.21347195933177,633616,504358336,28.21347195933177,4.0,8.0,1.4142135623730951,1,1,1.0,3972049,7916293657,44.64302857109943,36.0,216.0,2.449489742783178,3980025,7940149875,44.66542286825459,49.0,343.0,2.6457513110645907,25.0,125.0,2.23606797749979,4.0,8.0,1.4142135623730951,25,125,2.23606797749979,25,8.0,16.0,2.0,0.0,24.0,0.0,2.5,2158,1362,350
75.0,10084,8,5,2004,2005,186.0,1369,0,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,2004.0,2,636,255,57,0,0,0,0,0,2007,12.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,20.0,4.0,5.0,4.0,5.0,2.0,2.0,12.0,15.0,4.0,3.0,4.0,6.0,5.0,4.0,4.0,7.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,5.0,6.0,3.0,4.0,6.0,3.0,1.0,5.0,3.0,9.0,5.0,5.0,1,1,0,1,1,1,0,1,64,512,2.8284271247461903,400.0,8000.0,4.47213595499958,2869636,4861163384,41.15823125451335,9.0,27.0,1.7320508075688772,4,8,1.4142135623730951,9.0,27.0,1.7320508075688772,404496,257259456,25.219040425836983,25.0,125.0,2.23606797749979,2842596,4792616856,41.060930335295616,2869636,4861163384,41.15823125451335,9.0,27.0,1.7320508075688772,4,8,1.4142135623730951,4016016,8048096064,44.76605857119878,36.0,216.0,2.449489742783178,4020025,8060150125,44.77722635447622,144.0,1728.0,3.4641016151377544,36.0,216.0,2.449489742783178,25.0,125.0,2.23606797749979,49,343,2.6457513110645907,40,12.0,20.0,3.0,5.0,24.0,0.0,3.0,3380,1694,57
0.0,10382,7,6,1973,1973,240.0,859,32,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,1973.0,2,484,235,204,228,0,0,0,350,2009,15.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,14.0,8.0,5.0,4.0,7.0,2.0,2.0,9.0,10.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,5.0,2.0,6.0,5.0,2.0,5.0,2.0,7.0,4.0,6.0,3.0,4.0,6.0,3.0,1.0,5.0,2.0,11.0,5.0,5.0,1,1,1,1,1,1,0,0,49,343,2.6457513110645907,196.0,2744.0,3.7416573867739413,4368100,9129329000,45.71651780264984,4.0,8.0,1.4142135623730951,4,8,1.4142135623730951,4.0,8.0,1.4142135623730951,234256,113379904,22.0,16.0,64.0,2.0,1225449,1356572043,33.27160951922825,1225449,1356572043,33.27160951922825,9.0,27.0,1.7320508075688772,4,8,1.4142135623730951,3892729,7680354317,44.41846462902562,36.0,216.0,2.449489742783178,3892729,7680354317,44.41846462902562,225.0,3375.0,3.872983346207417,9.0,27.0,1.7320508075688772,16.0,64.0,2.0,49,343,2.6457513110645907,42,8.0,16.0,2.0,8.0,24.0,0.0,3.5,3197,2090,432
51.0,6120,7,5,1931,1950,0.0,0,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,1931.0,2,468,90,0,205,0,0,0,0,2008,7.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,5.0,4.0,3.0,2.0,2.0,11.0,8.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,6.0,6.0,6.0,4.0,2.0,3.0,2.0,6.0,4.0,3.0,2.0,3.0,6.0,3.0,1.0,5.0,3.0,2.0,5.0,2.0,1,1,1,0,1,0,0,0,49,343,2.6457513110645907,25.0,125.0,2.23606797749979,3147076,5582912824,42.118879377305376,4.0,8.0,1.4142135623730951,4,8,1.4142135623730951,4.0,8.0,1.4142135623730951,219024,102503232,21.633307652783937,9.0,27.0,1.7320508075688772,906304,862801408,30.854497241083024,1044484,1067462648,31.96873472629156,4.0,8.0,1.4142135623730951,4,8,1.4142135623730951,3728761,7200237491,43.94314508543966,9.0,27.0,1.7320508075688772,3802500,7414875000,44.15880433163923,49.0,343.0,2.6457513110645907,4.0,8.0,1.4142135623730951,16.0,64.0,2.0,64,512,2.8284271247461903,35,8.0,12.0,4.0,8.0,18.0,0.0,2.0,2726,1774,205
50.0,7420,5,6,1939,1950,0.0,851,0,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,1939.0,1,205,0,4,0,0,0,0,0,2008,4.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,7.0,7.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,5.0,2.0,7.0,4.0,6.0,3.0,6.0,6.0,3.0,1.0,5.0,3.0,1.0,5.0,5.0,1,1,0,0,0,1,0,0,25,125,2.23606797749979,16.0,64.0,2.0,1159929,1249243533,32.817678162843876,4.0,8.0,1.4142135623730951,1,1,1.0,4.0,8.0,1.4142135623730951,42025,8615125,14.317821063276353,9.0,27.0,1.7320508075688772,982081,973242271,31.480152477394387,1159929,1249243533,32.817678162843876,9.0,27.0,1.7320508075688772,1,1,1.0,3759721,7290099019,44.034077712607996,36.0,216.0,2.449489742783178,3802500,7414875000,44.15880433163923,16.0,64.0,2.0,4.0,8.0,1.4142135623730951,16.0,64.0,2.0,25,125,2.23606797749979,30,8.0,12.0,4.0,8.0,36.0,0.0,2.0,2068,1077,4
